Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      5.84     0.00        1     0.00     0.00  ezxml_new
  0.00      5.84     0.00        1     0.00     0.00  ezxml_parse_fd
  0.00      5.84     0.00        1     0.00     0.00  ezxml_parse_file
  0.00      5.84     0.00        1     0.00     0.00  ezxml_parse_str
  0.00      5.84     0.00        1     0.00     0.00  ezxml_str2utf8
  0.00      5.84     0.00        1     0.00     0.00  freeArch
  0.00      5.84     0.00        1     0.00     0.00  free_and_reset_internal_structures
  0.00      5.84     0.00        1     0.00     0.00  free_crit
  0.00      5.84     0.00        1     0.00     0.00  free_fanout_counts
  0.00      5.84     0.00        1     0.00     0.00  free_fast_cost_update_structs
  0.00      5.84     0.00        1     0.00     0.00  free_int_list
  0.00      5.84     0.00        1     0.00     0.00  free_lookups_and_criticalities
  0.00      5.84     0.00        1     0.00     0.00  free_net_delay
  0.00      5.84     0.00        1     0.00     0.00  free_pin_mappings
  0.00      5.84     0.00        1     0.00     0.00  free_placement_structs
  0.00      5.84     0.00        1     0.00     0.00  free_route_structs
  0.00      5.84     0.00        1     0.00     0.00  free_route_tree_timing_structs
  0.00      5.84     0.00        1     0.00     0.01  free_routing_structs
  0.00      5.84     0.00        1     0.00     0.00  free_rr_node_route_structs
  0.00      5.84     0.00        1     0.00     0.00  free_sblock_pattern_lookup
  0.00      5.84     0.00        1     0.00     0.00  free_seg_details
  0.00      5.84     0.00        1     0.00     0.00  free_timing_driven_route_structs
  0.00      5.84     0.00        1     0.00     0.00  free_timing_graph
  0.00      5.84     0.00        1     0.00     0.00  free_trace_structs
  0.00      5.84     0.00        1     0.00     0.00  free_type_pin_to_track_map
  0.00      5.84     0.00        1     0.00     0.00  free_type_track_to_ipin_map
  0.00      5.84     0.00        1     0.00     0.00  free_unique_pin_list
  0.00      5.84     0.00        1     0.00     0.00  get_delay_normalization_fac
  0.00      5.84     0.00        1     0.00     0.00  get_longest_segment_length
  0.00      5.84     0.00        1     0.00     0.00  get_max_pins_per_net
  0.00      5.84     0.00        1     0.00     0.00  get_seg_track_counts
  0.00      5.84     0.00        1     0.00     0.00  init_draw_coords
  0.00      5.84     0.00        1     0.00     0.00  init_route_structs
  0.00      5.84     0.00        1     0.00     0.00  initial_placement
  0.00      5.84     0.00        1     0.00     0.00  load_route_bb
  0.00      5.84     0.00        1     0.00     0.00  load_rr_indexed_data_base_costs
  0.00      5.84     0.00        1     0.00     0.00  load_simplified_device
  0.00      5.84     0.00        1     0.00     0.00  load_subblock_info_to_type
  0.00      5.84     0.00        1     0.00     0.00  my_srandom
  0.00      5.84     0.00        1     0.00     5.82  place_and_route
  0.00      5.84     0.00        1     0.00     0.00  post_place_sync
  0.00      5.84     0.00        1     0.00     0.00  print_place
  0.00      5.84     0.00        1     0.00     0.02  read_netlist
  0.00      5.84     0.00        1     0.00     0.00  reset_placement
  0.00      5.84     0.00        1     0.00     0.00  restore_original_device
  0.00      5.84     0.00        1     0.00     0.02  rr_graph_externals
  0.00      5.84     0.00        1     0.00     0.00  set_graphics_state
  0.00      5.84     0.00        1     0.00     0.00  setup_chan_width
  0.00      5.84     0.00        1     0.00     0.00  start_hash_table_iterator
  0.00      5.84     0.00        1     0.00     0.00  starting_t
  0.00      5.84     0.00        1     0.00     5.82  try_place

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.17% of 5.84 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     99.9    0.00    5.84                 main [1]
                0.00    5.82       1/1           place_and_route [2]
                0.00    0.02       1/1           SetupVPR [48]
                0.00    0.00       1/1           PrintTitle [227]
                0.00    0.00       1/1           ReadOptions [236]
                0.00    0.00       1/1           IsTimingEnabled [226]
                0.00    0.00       1/1           CheckOptions [221]
                0.00    0.00       1/1           CheckArch [220]
                0.00    0.00       1/1           CheckSetup [223]
                0.00    0.00       1/1           ShowSetup [249]
                0.00    0.00       1/1           set_graphics_state [321]
                0.00    0.00       1/1           freeArch [287]
-----------------------------------------------
                0.00    5.82       1/1           main [1]
[2]     99.6    0.00    5.82       1         place_and_route [2]
                0.00    5.82       1/1           try_place [3]
                0.00    0.00       1/1           print_place [318]
                0.00    0.00       1/1           post_place_sync [317]
-----------------------------------------------
                0.00    5.82       1/1           place_and_route [2]
[3]     99.6    0.00    5.82       1         try_place [3]
                0.41    4.30  869860/869998      try_swap [4]
                0.00    0.99       1/1           alloc_lookups_and_criticalities [6]
                0.05    0.00     124/124         load_net_slack [31]
                0.00    0.02       1/1           check_place [42]
                0.00    0.02       1/2           comp_bb_cost [32]
                0.00    0.02     511/511         get_mst_of_net [47]
                0.00    0.01     138/139         comp_td_costs [69]
                0.00    0.00       1/1           starting_t [72]
                0.00    0.00       1/1           initial_placement [82]
                0.00    0.00     124/124         load_timing_graph_net_delays [169]
                0.00    0.00     123/123         load_criticalities [171]
                0.00    0.00     123/123         update_screen [172]
                0.00    0.00     122/123         get_std_dev [170]
                0.00    0.00     122/122         exit_crit [173]
                0.00    0.00     121/121         update_t [175]
                0.00    0.00     121/121         update_rlim [174]
                0.00    0.00      15/15          recompute_bb_cost [182]
                0.00    0.00       2/383841      my_malloc [84]
                0.00    0.00       1/2           init_chan [217]
                0.00    0.00       1/1           alloc_and_load_placement_structs [257]
                0.00    0.00       1/1           init_draw_coords [311]
                0.00    0.00       1/1           count_connections [281]
                0.00    0.00       1/1           compute_net_pin_index_values [280]
                0.00    0.00       1/1           free_placement_structs [296]
                0.00    0.00       1/1           free_lookups_and_criticalities [293]
-----------------------------------------------
                0.00    0.00     138/869998      starting_t [72]
                0.41    4.30  869860/869998      try_place [3]
[4]     80.7    0.41    4.30  869998         try_swap [4]
                0.88    0.82  848146/848146      comp_delta_td_cost [5]
                0.89    0.00 12628718/12629702     get_non_updateable_bb [10]
                0.52    0.00  848146/848146      find_affected_nets [16]
                0.40    0.00 15636765/15637785     get_net_cost [20]
                0.22    0.12 3008047/3008047     update_bb [22]
                0.28    0.00  386965/386965      update_td_cost [23]
                0.07    0.02  869998/869998      find_to [26]
                0.02    0.04  848146/848146      assess_swap [30]
                0.02    0.00 1267391/3022684     my_irand [34]
                0.00    0.00       4/383841      my_malloc [84]
-----------------------------------------------
                0.88    0.82  848146/848146      try_swap [4]
[5]     29.2    0.88    0.82  848146         comp_delta_td_cost [5]
                0.82    0.00 25424969/25584958     comp_td_point_to_point_delay [12]
-----------------------------------------------
                0.00    0.99       1/1           try_place [3]
[6]     16.9    0.00    0.99       1         alloc_lookups_and_criticalities [6]
                0.00    0.99       1/1           compute_delay_lookup_tables [7]
                0.00    0.00       1/1           alloc_and_load_timing_graph [260]
                0.00    0.00       1/1           alloc_net_delay [269]
                0.00    0.00       1/1           alloc_crit [266]
-----------------------------------------------
                0.00    0.99       1/1           alloc_lookups_and_criticalities [6]
[7]     16.9    0.00    0.99       1         compute_delay_lookup_tables [7]
                0.00    0.91       1/1           alloc_routing_structs [8]
                0.00    0.07       1/1           compute_delta_arrays [28]
                0.00    0.01       1/1           free_routing_structs [70]
                0.00    0.00       1/1           load_simplified_device [314]
                0.00    0.00       1/1           alloc_and_assign_internal_structures [251]
                0.00    0.00       1/1           setup_chan_width [322]
